band_pos	base_score	move_score	stay_score	action	tb_value
# base=0 from=0 to=84 band_start=0 band_end=84
# start
24	25.1636791229248047	657.9790039062500000	657.9790039062500000	stay	24
25	25.1338176727294922	683.1127929687500000	683.1127929687500000	stay	25
26	25.4032192230224609	708.5159912109375000	708.5159912109375000	stay	26
27	25.5083770751953125	734.0243530273437500	734.0243530273437500	stay	27
28	25.7193412780761719	759.7437133789062500	759.7437133789062500	stay	28
29	25.3882160186767578	785.1319580078125000	785.1319580078125000	stay	29
30	25.4032192230224609	810.5351562500000000	810.5351562500000000	stay	30
31	25.4182281494140625	835.9533691406250000	835.9533691406250000	stay	31
32	25.5836200714111328	861.5369873046875000	861.5369873046875000	stay	32
33	25.7797794342041016	887.3167724609375000	887.3167724609375000	stay	33
34	26.1134357452392578	913.4302368164062500	913.4302368164062500	stay	34
35	26.8488750457763672	940.2791137695312500	940.2791137695312500	stay	35
36	28.5091400146484375	968.7882690429687500	968.7882690429687500	stay	36
37	28.2870063781738281	997.0752563476562500	997.0752563476562500	stay	37
38	28.9079685211181641	1025.9832763671875000	1025.9832763671875000	stay	38
39	28.9399948120117188	1054.9232177734375000	1054.9232177734375000	stay	39
40	28.7960147857666016	1083.7192382812500000	1083.7192382812500000	stay	40
41	28.8759613037109375	1112.5952148437500000	1112.5952148437500000	stay	41
42	28.6524009704589844	1141.2475585937500000	1141.2475585937500000	stay	42
43	28.7960147857666016	1170.0435791015625000	1170.0435791015625000	stay	43
44	28.5727634429931641	1198.6163330078125000	1198.6163330078125000	stay	44
45	28.8759613037109375	1227.4923095703125000	1227.4923095703125000	stay	45
46	28.6683406829833984	1256.1606445312500000	1256.1606445312500000	stay	46
47	28.9720363616943359	1285.1326904296875000	1285.1326904296875000	stay	47
48	28.5409431457519531	1313.6735839843750000	1313.6735839843750000	stay	48
49	28.8279838562011719	1342.5015869140625000	1342.5015869140625000	stay	49
50	28.5727634429931641	1371.0743408203125000	1371.0743408203125000	stay	50
51	28.7640705108642578	1399.8383789062500000	1399.8383789062500000	stay	51
52	28.4932441711425781	1428.3316650390625000	1428.3316650390625000	stay	52
53	28.7960147857666016	1457.1276855468750000	1457.1276855468750000	stay	53
54	28.7640705108642578	1485.8917236328125000	1485.8917236328125000	stay	54
55	28.2870063781738281	1514.1787109375000000	1514.1787109375000000	stay	55
56	28.3820972442626953	1542.5607910156250000	1542.5607910156250000	stay	56
57	24.3930015563964844	1566.9537353515625000	1566.9537353515625000	stay	57
58	23.4609355926513672	1590.4146728515625000	1590.4146728515625000	stay	58
59	23.5042190551757812	1613.9189453125000000	1613.9189453125000000	stay	59
60	23.5764522552490234	1637.4953613281250000	1637.4953613281250000	stay	60
61	24.0413475036621094	1661.5367431640625000	1661.5367431640625000	stay	61
62	25.2982826232910156	1686.8350830078125000	1686.8350830078125000	stay	62
63	25.1636791229248047	1711.9987792968750000	1711.9987792968750000	stay	63
64	25.5836200714111328	1737.5823974609375000	1737.5823974609375000	stay	64
65	25.1487464904785156	1762.7312011718750000	1762.7312011718750000	stay	65
66	25.0592346191406250	1787.7904052734375000	1787.7904052734375000	stay	66
67	25.0741405487060547	1812.8645019531250000	1812.8645019531250000	stay	67
68	25.0890579223632812	1837.9536132812500000	1837.9536132812500000	stay	68
69	24.9550113677978516	1862.9085693359375000	1862.9085693359375000	stay	69
70	24.9996528625488281	1887.9082031250000000	1887.9082031250000000	stay	70
71	25.1188926696777344	1913.0270996093750000	1913.0270996093750000	stay	71
72	25.5685634613037109	1938.5957031250000000	1938.5957031250000000	stay	72
73	25.1636791229248047	1963.7593994140625000	1963.7593994140625000	stay	73
74	25.3282432556152344	1989.0876464843750000	1989.0876464843750000	stay	74
75	25.3582191467285156	2014.4459228515625000	2014.4459228515625000	stay	75
76	25.7495498657226562	2040.1954345703125000	2040.1954345703125000	stay	76
77	25.0890579223632812	2065.2844238281250000	2065.2844238281250000	stay	77
